initial boot mapping
oki1 addr=00000 data=00
oki1 addr=00100 data=00
oki1 addr=00200 data=00
oki1 addr=00300 data=00
oki1 addr=00400 data=88
oki1 addr=10000 data=00
oki1 addr=20000 data=00
oki1 addr=30000 data=00
oki2 addr=00000 data=00
oki2 addr=00100 data=00
oki2 addr=00200 data=00
oki2 addr=00300 data=00
oki2 addr=00400 data=80
oki2 addr=10000 data=00
oki2 addr=20000 data=00
oki2 addr=30000 data=00
set both chips banks 0,1,2,3 like pwrinst2 init
write offset=0 data=00
write offset=4 data=00
write offset=1 data=01
write offset=5 data=01
write offset=2 data=02
write offset=6 data=02
write offset=3 data=03
write offset=7 data=03
oki1 addr=00000 data=00
oki1 addr=00100 data=00
oki1 addr=00200 data=00
oki1 addr=00300 data=00
oki1 addr=00400 data=88
oki1 addr=10000 data=00
oki1 addr=20000 data=00
oki1 addr=30000 data=00
oki2 addr=00000 data=00
oki2 addr=00100 data=00
oki2 addr=00200 data=00
oki2 addr=00300 data=00
oki2 addr=00400 data=80
oki2 addr=10000 data=00
oki2 addr=20000 data=00
oki2 addr=30000 data=00
probe high page on chip 0 bank 0
write offset=0 data=10
oki1 addr=00000 data=00
oki1 addr=00100 data=00
oki1 addr=00200 data=00
oki1 addr=00300 data=00
oki1 addr=00400 data=80
oki1 addr=10000 data=00
oki1 addr=20000 data=00
oki1 addr=30000 data=00
write offset=0 data=20
oki1 addr=00000 data=00
oki1 addr=00100 data=00
oki1 addr=00200 data=00
oki1 addr=00300 data=00
oki1 addr=00400 data=80
oki1 addr=10000 data=00
oki1 addr=20000 data=00
oki1 addr=30000 data=00
write offset=0 data=3F
oki1 addr=00000 data=00
oki1 addr=00100 data=00
oki1 addr=00200 data=00
oki1 addr=00300 data=00
oki1 addr=00400 data=88
oki1 addr=10000 data=00
oki1 addr=20000 data=00
oki1 addr=30000 data=00
probe high page on chip 1 bank 0
write offset=4 data=10
oki2 addr=00000 data=00
oki2 addr=00100 data=00
oki2 addr=00200 data=00
oki2 addr=00300 data=00
oki2 addr=00400 data=88
oki2 addr=10000 data=00
oki2 addr=20000 data=00
oki2 addr=30000 data=00
write offset=4 data=20
oki2 addr=00000 data=00
oki2 addr=00100 data=00
oki2 addr=00200 data=00
oki2 addr=00300 data=00
oki2 addr=00400 data=88
oki2 addr=10000 data=00
oki2 addr=20000 data=00
oki2 addr=30000 data=00
write offset=4 data=3F
oki2 addr=00000 data=00
oki2 addr=00100 data=00
oki2 addr=00200 data=00
oki2 addr=00300 data=00
oki2 addr=00400 data=88
oki2 addr=10000 data=00
oki2 addr=20000 data=00
oki2 addr=30000 data=00
