time,frame,kind,detail,addr,data,mask,pc
0.000000,0,TRACE,start,000000,0000,0000,0000
0.000013,0,M68K,sound_command,E00000,0000,FFFF,mainpc_00177A
0.000005,0,Z80,latch_lo,000070,0000,00FF,00AF
0.000006,0,Z80,latch_hi,000060,0000,00FF,00B1
0.000031,0,Z80,latch_lo,000070,0000,00FF,007F
0.000035,0,Z80,latch_hi,000060,0000,00FF,0084
0.000052,0,Z80,latch_lo,000070,0000,00FF,00AF
0.000053,0,Z80,latch_hi,000060,0000,00FF,00B1
0.022510,1,OKI0,stop_F,000000,0078,00FF,2672
0.022527,1,OKI1,stop_F,000008,0078,00FF,2688
0.022720,1,OKI0,status_F0,000000,00F0,00FF,26DE
0.022724,1,OKI1,status_F0,000008,00F0,00FF,26E7
2.085120,120,INPUT,coin1_set_value,000000,0001,0000,00F6
2.102496,121,INPUT,coin1_set_value,000000,0001,0000,00F8
2.119872,122,INPUT,coin1_set_value,000000,0001,0000,00FE
2.137248,123,INPUT,coin1_set_value,000000,0001,0000,00F5
2.154624,124,INPUT,coin1_set_value,000000,0001,0000,00F7
2.172000,125,INPUT,coin1_set_value,000000,0001,0000,00F9
2.189376,126,INPUT,coin1_set_value,000000,0001,0000,00FA
2.206752,127,INPUT,coin1_set_value,000000,0001,0000,00F9
2.224128,128,INPUT,coin1_set_value,000000,0001,0000,00FA
2.241504,129,INPUT,coin1_set_value,000000,0001,0000,00FC
2.258880,130,INPUT,coin1_set_value,000000,0001,0000,00FD
2.276256,131,INPUT,coin1_set_value,000000,0001,0000,09D3
3.822720,220,INPUT,start1_set_value,000000,0001,0000,00F9
3.840096,221,INPUT,start1_set_value,000000,0001,0000,00FA
3.857472,222,INPUT,start1_set_value,000000,0001,0000,00FA
3.874848,223,INPUT,start1_set_value,000000,0001,0000,00F9
3.892224,224,INPUT,start1_set_value,000000,0001,0000,00FA
3.909600,225,INPUT,start1_set_value,000000,0001,0000,00FC
3.926976,226,INPUT,start1_set_value,000000,0001,0000,00FD
3.944352,227,INPUT,start1_set_value,000000,0001,0000,00FF
3.961728,228,INPUT,start1_set_value,000000,0001,0000,00F6
3.979104,229,INPUT,start1_set_value,000000,0001,0000,00F8
3.996480,230,INPUT,start1_set_value,000000,0001,0000,196E
4.013856,231,INPUT,start1_set_value,000000,0001,0000,00F5
45.000000,2589,TRACE,summary_oki0_status_reads_1_starts_0_stops_1_overlaps_0_last_status_F0_last_start_00_last_overlap_0,000000,0000,0000,00FF
45.000000,2589,TRACE,summary_oki1_status_reads_1_starts_0_stops_1_overlaps_0_last_status_F0_last_start_00_last_overlap_0,000000,0000,0000,00FF
45.000000,2589,TRACE,summary_main_0000,000000,0000,0000,00FF
45.000000,2589,TRACE,summary_latch_reads_6,000000,0000,0000,00FF
45.000000,2589,TRACE,summary_injected_0,000000,0000,0000,00FF
45.000000,2589,TRACE,done,000000,0000,0000,00FF
