time,frame,kind,detail,addr,data,mask,pc
0.000000,0,TRACE,start,000000,0000,0000,0000
0.000013,0,M68K,sound_command,E00000,0000,FFFF,mainpc_00177A
0.000005,0,Z80,latch_lo,000070,0000,00FF,00AF
0.000006,0,Z80,latch_hi,000060,0000,00FF,00B1
0.000008,0,Z80,rom_bank,000080,0000,00FF,00B4
0.000010,0,Z80,reply_ack,000050,00FF,00FF,00B8
0.000031,0,Z80,latch_lo,000070,0000,00FF,007F
0.000035,0,Z80,latch_hi,000060,0000,00FF,0084
0.000052,0,Z80,latch_lo,000070,0000,00FF,00AF
0.000053,0,Z80,latch_hi,000060,0000,00FF,00B1
0.000055,0,Z80,rom_bank,000080,0000,00FF,00B4
0.000057,0,Z80,reply_ack,000050,00FF,00FF,00B8
0.021896,1,YM2203,key_data_reg_28,000041,0000,00FF,0012
0.021937,1,YM2203,key_data_reg_28,000041,0001,00FF,0012
0.021979,1,YM2203,key_data_reg_28,000041,0002,00FF,0012
0.022510,1,OKI0,stop_F,000000,0078,00FF,2672
0.022527,1,OKI1,stop_F,000008,0078,00FF,2688
0.022781,1,NMK112,bank_0,000010,0000,00FF,00E4
0.022783,1,NMK112,bank_4,000014,0000,00FF,00E6
0.022784,1,NMK112,bank_1,000011,0001,00FF,00E9
0.022786,1,NMK112,bank_5,000015,0001,00FF,00EB
0.022788,1,NMK112,bank_2,000012,0002,00FF,00EE
0.022789,1,NMK112,bank_6,000016,0002,00FF,00F0
0.022791,1,NMK112,bank_3,000013,0003,00FF,00F3
0.022792,1,NMK112,bank_7,000017,0003,00FF,00F5
1200.000000,69060,TRACE,summary_main_0000_reply_FF,000000,0000,0000,00F9
1200.000000,69060,TRACE,summary_oki0_events_1_last_start_00_last_stop_78,000000,0000,0000,00F9
1200.000000,69060,TRACE,summary_oki1_events_1_last_start_00_last_stop_78,000000,0000,0000,00F9
1200.000000,69060,TRACE,summary_ym_writes_3552,000000,0000,0000,00F9
1200.000000,69060,TRACE,done,000000,0000,0000,00F9
