time,frame,kind,detail,addr,data,mask,pc
0.000000,0,TRACE,start,000000,0000,0000,0000
0.000013,0,M68K,sound_command,E00000,0000,FFFF,mainpc_00177A
0.000005,0,Z80,latch_lo,000070,0000,00FF,00AF
0.000006,0,Z80,latch_hi,000060,0000,00FF,00B1
0.000008,0,Z80,rom_bank,000080,0000,00FF,00B4
0.000010,0,Z80,reply_ack,000050,00FF,00FF,00B8
0.000031,0,Z80,latch_lo,000070,0000,00FF,007F
0.000035,0,Z80,latch_hi,000060,0000,00FF,0084
0.000052,0,Z80,latch_lo,000070,0000,00FF,00AF
0.000053,0,Z80,latch_hi,000060,0000,00FF,00B1
0.000055,0,Z80,rom_bank,000080,0000,00FF,00B4
0.000057,0,Z80,reply_ack,000050,00FF,00FF,00B8
0.021590,1,YM2203,addr,000040,0021,00FF,000A
0.021599,1,YM2203,data_reg_21,000041,0000,00FF,0012
0.021655,1,YM2203,addr,000040,002D,00FF,000A
0.021664,1,YM2203,addr,000040,002E,00FF,000A
0.021673,1,YM2203,addr,000040,0027,00FF,000A
0.021681,1,YM2203,data_reg_27,000041,0030,00FF,0012
0.021718,1,YM2203,addr,000040,0007,00FF,000A
0.021727,1,YM2203,data_reg_07,000041,00FF,00FF,0012
0.021760,1,YM2203,addr,000040,0008,00FF,000A
0.021768,1,YM2203,data_reg_08,000041,0000,00FF,0012
0.021801,1,YM2203,addr,000040,0009,00FF,000A
0.021810,1,YM2203,data_reg_09,000041,0000,00FF,0012
0.021842,1,YM2203,addr,000040,000A,00FF,000A
0.021851,1,YM2203,data_reg_0A,000041,0000,00FF,0012
0.021887,1,YM2203,addr,000040,0028,00FF,000A
0.021896,1,YM2203,data_reg_28,000041,0000,00FF,0012
0.021928,1,YM2203,addr,000040,0028,00FF,000A
0.021937,1,YM2203,data_reg_28,000041,0001,00FF,0012
0.021970,1,YM2203,addr,000040,0028,00FF,000A
0.021979,1,YM2203,data_reg_28,000041,0002,00FF,0012
0.022011,1,YM2203,addr,000040,0040,00FF,000A
0.022020,1,YM2203,data_reg_40,000041,007F,00FF,0012
0.022053,1,YM2203,addr,000040,0048,00FF,000A
0.022061,1,YM2203,data_reg_48,000041,007F,00FF,0012
0.022094,1,YM2203,addr,000040,0044,00FF,000A
0.022103,1,YM2203,data_reg_44,000041,007F,00FF,0012
0.022135,1,YM2203,addr,000040,004C,00FF,000A
0.022144,1,YM2203,data_reg_4C,000041,007F,00FF,0012
0.022177,1,YM2203,addr,000040,0041,00FF,000A
0.022186,1,YM2203,data_reg_41,000041,007F,00FF,0012
0.022218,1,YM2203,addr,000040,0049,00FF,000A
0.022227,1,YM2203,data_reg_49,000041,007F,00FF,0012
0.022259,1,YM2203,addr,000040,0045,00FF,000A
0.022268,1,YM2203,data_reg_45,000041,007F,00FF,0012
0.022301,1,YM2203,addr,000040,004D,00FF,000A
0.022310,1,YM2203,data_reg_4D,000041,007F,00FF,0012
0.022342,1,YM2203,addr,000040,0042,00FF,000A
0.022351,1,YM2203,data_reg_42,000041,007F,00FF,0012
0.022384,1,YM2203,addr,000040,004A,00FF,000A
0.022392,1,YM2203,data_reg_4A,000041,007F,00FF,0012
0.022425,1,YM2203,addr,000040,0046,00FF,000A
0.022434,1,YM2203,data_reg_46,000041,007F,00FF,0012
0.022466,1,YM2203,addr,000040,004E,00FF,000A
0.022475,1,YM2203,data_reg_4E,000041,007F,00FF,0012
0.022510,1,OKI0,stop_F,000000,0078,00FF,2672
0.022527,1,OKI1,stop_F,000008,0078,00FF,2688
0.022563,1,YM2203,addr,000040,0025,00FF,2551
0.022570,1,YM2203,data_reg_25,000041,00D2,00FF,2555
0.022612,1,YM2203,addr,000040,0024,00FF,2551
0.022619,1,YM2203,data_reg_24,000041,0000,00FF,2555
0.022670,1,YM2203,addr,000040,0026,00FF,2551
0.022677,1,YM2203,data_reg_26,000041,00C0,00FF,2555
0.022731,1,YM2203,addr,000040,0027,00FF,000A
0.022740,1,YM2203,data_reg_27,000041,003F,00FF,0012
0.022781,1,NMK112,bank_0,000010,0000,00FF,00E4
0.022783,1,NMK112,bank_4,000014,0000,00FF,00E6
0.022784,1,NMK112,bank_1,000011,0001,00FF,00E9
0.022786,1,NMK112,bank_5,000015,0001,00FF,00EB
0.022788,1,NMK112,bank_2,000012,0002,00FF,00EE
0.022789,1,NMK112,bank_6,000016,0002,00FF,00F0
0.022791,1,NMK112,bank_3,000013,0003,00FF,00F3
0.022792,1,NMK112,bank_7,000017,0003,00FF,00F5
0.032044,1,YM2203,addr,000040,0027,00FF,000A
0.032053,1,YM2203,data_reg_27,000041,002F,00FF,0012
0.032127,1,YM2203,addr,000040,0027,00FF,000A
0.032136,1,YM2203,data_reg_27,000041,001F,00FF,0012
0.041259,2,YM2203,addr,000040,0027,00FF,000A
0.041268,2,YM2203,data_reg_27,000041,002F,00FF,0012
0.041668,2,YM2203,addr,000040,0000,00FF,1468
0.041675,2,YM2203,data_reg_00,000041,0000,00FF,146C
0.041706,2,YM2203,addr,000040,0001,00FF,1471
0.041713,2,YM2203,data_reg_01,000041,0000,00FF,1475
0.041792,2,YM2203,addr,000040,0002,00FF,1468
0.041799,2,YM2203,data_reg_02,000041,0000,00FF,146C
0.041830,2,YM2203,addr,000040,0003,00FF,1471
0.041838,2,YM2203,data_reg_03,000041,0000,00FF,1475
0.041916,2,YM2203,addr,000040,0004,00FF,1468
0.041924,2,YM2203,data_reg_04,000041,0000,00FF,146C
0.041955,2,YM2203,addr,000040,0005,00FF,1471
0.041962,2,YM2203,data_reg_05,000041,0000,00FF,1475
0.042029,2,YM2203,addr,000040,0006,00FF,1484
0.042036,2,YM2203,data_reg_06,000041,0000,00FF,1488
0.042087,2,YM2203,addr,000040,0027,00FF,000A
0.042096,2,YM2203,data_reg_27,000041,001F,00FF,0012
0.050476,2,YM2203,addr,000040,0027,00FF,000A
0.050485,2,YM2203,data_reg_27,000041,002F,00FF,0012
0.050560,2,YM2203,addr,000040,0027,00FF,000A
0.050569,2,YM2203,data_reg_27,000041,001F,00FF,0012
0.059692,3,YM2203,addr,000040,0027,00FF,000A
0.059701,3,YM2203,data_reg_27,000041,002F,00FF,0012
0.060101,3,YM2203,addr,000040,0000,00FF,1468
0.060108,3,YM2203,data_reg_00,000041,0000,00FF,146C
0.060139,3,YM2203,addr,000040,0001,00FF,1471
0.060147,3,YM2203,data_reg_01,000041,0000,00FF,1475
0.060225,3,YM2203,addr,000040,0002,00FF,1468
0.060232,3,YM2203,data_reg_02,000041,0000,00FF,146C
0.060264,3,YM2203,addr,000040,0003,00FF,1471
0.060271,3,YM2203,data_reg_03,000041,0000,00FF,1475
0.060349,3,YM2203,addr,000040,0004,00FF,1468
0.060357,3,YM2203,data_reg_04,000041,0000,00FF,146C
0.060388,3,YM2203,addr,000040,0005,00FF,1471
0.060395,3,YM2203,data_reg_05,000041,0000,00FF,1475
0.060462,3,YM2203,addr,000040,0006,00FF,1484
0.060469,3,YM2203,data_reg_06,000041,0000,00FF,1488
0.060520,3,YM2203,addr,000040,0027,00FF,000A
0.060529,3,YM2203,data_reg_27,000041,001F,00FF,0012
0.068909,3,YM2203,addr,000040,0027,00FF,000A
0.068918,3,YM2203,data_reg_27,000041,002F,00FF,0012
0.068993,3,YM2203,addr,000040,0027,00FF,000A
0.069002,3,YM2203,data_reg_27,000041,001F,00FF,0012
0.078114,4,YM2203,addr,000040,0027,00FF,000A
0.078123,4,YM2203,data_reg_27,000041,002F,00FF,0012
0.078522,4,YM2203,addr,000040,0000,00FF,1468
0.078530,4,YM2203,data_reg_00,000041,0000,00FF,146C
0.078561,4,YM2203,addr,000040,0001,00FF,1471
0.078568,4,YM2203,data_reg_01,000041,0000,00FF,1475
0.078647,4,YM2203,addr,000040,0002,00FF,1468
0.078654,4,YM2203,data_reg_02,000041,0000,00FF,146C
0.078685,4,YM2203,addr,000040,0003,00FF,1471
0.078693,4,YM2203,data_reg_03,000041,0000,00FF,1475
0.078771,4,YM2203,addr,000040,0004,00FF,1468
0.078778,4,YM2203,data_reg_04,000041,0000,00FF,146C
0.078810,4,YM2203,addr,000040,0005,00FF,1471
0.078817,4,YM2203,data_reg_05,000041,0000,00FF,1475
0.078883,4,YM2203,addr,000040,0006,00FF,1484
0.078891,4,YM2203,data_reg_06,000041,0000,00FF,1488
0.078942,4,YM2203,addr,000040,0027,00FF,000A
0.078950,4,YM2203,data_reg_27,000041,001F,00FF,0012
0.087157,5,YM2203,addr,000040,0027,00FF,000A
0.087166,5,YM2203,data_reg_27,000041,001F,00FF,0012
0.087399,5,YM2203,addr,000040,0027,00FF,000A
0.087407,5,YM2203,data_reg_27,000041,002F,00FF,0012
0.096681,5,YM2203,addr,000040,0000,00FF,1468
0.096688,5,YM2203,data_reg_00,000041,0000,00FF,146C
0.096720,5,YM2203,addr,000040,0001,00FF,1471
0.096727,5,YM2203,data_reg_01,000041,0000,00FF,1475
0.096805,5,YM2203,addr,000040,0002,00FF,1468
0.096813,5,YM2203,data_reg_02,000041,0000,00FF,146C
0.096844,5,YM2203,addr,000040,0003,00FF,1471
0.096851,5,YM2203,data_reg_03,000041,0000,00FF,1475
0.096930,5,YM2203,addr,000040,0004,00FF,1468
0.096937,5,YM2203,data_reg_04,000041,0000,00FF,146C
0.096968,5,YM2203,addr,000040,0005,00FF,1471
0.096976,5,YM2203,data_reg_05,000041,0000,00FF,1475
0.097042,5,YM2203,addr,000040,0006,00FF,1484
0.097049,5,YM2203,data_reg_06,000041,0000,00FF,1488
0.097100,5,YM2203,addr,000040,0027,00FF,000A
0.097109,5,YM2203,data_reg_27,000041,001F,00FF,0012
0.097341,5,YM2203,addr,000040,0027,00FF,000A
0.097350,5,YM2203,data_reg_27,000041,002F,00FF,0012
0.105552,6,YM2203,addr,000040,0027,00FF,000A
0.105561,6,YM2203,data_reg_27,000041,001F,00FF,0012
0.105791,6,YM2203,addr,000040,0027,00FF,000A
0.105800,6,YM2203,data_reg_27,000041,002F,00FF,0012
0.115078,6,YM2203,addr,000040,0000,00FF,1468
0.115085,6,YM2203,data_reg_00,000041,0000,00FF,146C
0.115116,6,YM2203,addr,000040,0001,00FF,1471
0.115123,6,YM2203,data_reg_01,000041,0000,00FF,1475
0.115202,6,YM2203,addr,000040,0002,00FF,1468
0.115209,6,YM2203,data_reg_02,000041,0000,00FF,146C
0.115241,6,YM2203,addr,000040,0003,00FF,1471
0.115248,6,YM2203,data_reg_03,000041,0000,00FF,1475
0.115326,6,YM2203,addr,000040,0004,00FF,1468
0.115334,6,YM2203,data_reg_04,000041,0000,00FF,146C
0.115365,6,YM2203,addr,000040,0005,00FF,1471
0.115372,6,YM2203,data_reg_05,000041,0000,00FF,1475
0.115439,6,YM2203,addr,000040,0006,00FF,1484
0.115446,6,YM2203,data_reg_06,000041,0000,00FF,1488
0.115497,6,YM2203,addr,000040,0027,00FF,000A
0.115506,6,YM2203,data_reg_27,000041,001F,00FF,0012
0.115734,6,YM2203,addr,000040,0027,00FF,000A
0.115743,6,YM2203,data_reg_27,000041,002F,00FF,0012
0.123949,7,YM2203,addr,000040,0027,00FF,000A
0.123958,7,YM2203,data_reg_27,000041,001F,00FF,0012
0.124203,7,YM2203,addr,000040,0027,00FF,000A
0.124212,7,YM2203,data_reg_27,000041,002F,00FF,0012
0.133473,7,YM2203,addr,000040,0000,00FF,1468
0.133480,7,YM2203,data_reg_00,000041,0000,00FF,146C
0.133511,7,YM2203,addr,000040,0001,00FF,1471
0.133518,7,YM2203,data_reg_01,000041,0000,00FF,1475
0.133597,7,YM2203,addr,000040,0002,00FF,1468
0.133604,7,YM2203,data_reg_02,000041,0000,00FF,146C
0.133636,7,YM2203,addr,000040,0003,00FF,1471
0.133643,7,YM2203,data_reg_03,000041,0000,00FF,1475
0.133721,7,YM2203,addr,000040,0004,00FF,1468
0.133729,7,YM2203,data_reg_04,000041,0000,00FF,146C
0.133760,7,YM2203,addr,000040,0005,00FF,1471
0.133767,7,YM2203,data_reg_05,000041,0000,00FF,1475
0.133834,7,YM2203,addr,000040,0006,00FF,1484
0.133841,7,YM2203,data_reg_06,000041,0000,00FF,1488
0.133892,7,YM2203,addr,000040,0027,00FF,000A
0.133901,7,YM2203,data_reg_27,000041,001F,00FF,0012
0.134133,7,YM2203,addr,000040,0027,00FF,000A
0.134142,7,YM2203,data_reg_27,000041,002F,00FF,0012
0.142345,8,YM2203,addr,000040,0027,00FF,000A
0.142354,8,YM2203,data_reg_27,000041,001F,00FF,0012
0.142636,8,YM2203,addr,000040,0027,00FF,000A
0.142645,8,YM2203,data_reg_27,000041,002F,00FF,0012
0.151869,8,YM2203,addr,000040,0000,00FF,1468
0.151876,8,YM2203,data_reg_00,000041,0000,00FF,146C
0.151908,8,YM2203,addr,000040,0001,00FF,1471
0.151915,8,YM2203,data_reg_01,000041,0000,00FF,1475
0.151993,8,YM2203,addr,000040,0002,00FF,1468
0.152001,8,YM2203,data_reg_02,000041,0000,00FF,146C
0.152032,8,YM2203,addr,000040,0003,00FF,1471
0.152039,8,YM2203,data_reg_03,000041,0000,00FF,1475
0.152118,8,YM2203,addr,000040,0004,00FF,1468
0.152125,8,YM2203,data_reg_04,000041,0000,00FF,146C
0.152156,8,YM2203,addr,000040,0005,00FF,1471
0.152164,8,YM2203,data_reg_05,000041,0000,00FF,1475
0.152230,8,YM2203,addr,000040,0006,00FF,1484
0.152237,8,YM2203,data_reg_06,000041,0000,00FF,1488
0.152288,8,YM2203,addr,000040,0027,00FF,000A
0.152297,8,YM2203,data_reg_27,000041,001F,00FF,0012
0.152526,8,YM2203,addr,000040,0027,00FF,000A
0.152535,8,YM2203,data_reg_27,000041,002F,00FF,0012
0.160740,9,YM2203,addr,000040,0027,00FF,000A
0.160749,9,YM2203,data_reg_27,000041,001F,00FF,0012
0.161068,9,YM2203,addr,000040,0027,00FF,000A
0.161077,9,YM2203,data_reg_27,000041,002F,00FF,0012
0.170265,9,YM2203,addr,000040,0000,00FF,1468
0.170273,9,YM2203,data_reg_00,000041,0000,00FF,146C
0.170304,9,YM2203,addr,000040,0001,00FF,1471
0.170311,9,YM2203,data_reg_01,000041,0000,00FF,1475
0.170390,9,YM2203,addr,000040,0002,00FF,1468
0.170397,9,YM2203,data_reg_02,000041,0000,00FF,146C
0.170428,9,YM2203,addr,000040,0003,00FF,1471
0.170436,9,YM2203,data_reg_03,000041,0000,00FF,1475
0.170514,9,YM2203,addr,000040,0004,00FF,1468
0.170521,9,YM2203,data_reg_04,000041,0000,00FF,146C
0.170553,9,YM2203,addr,000040,0005,00FF,1471
0.170560,9,YM2203,data_reg_05,000041,0000,00FF,1475
0.170626,9,YM2203,addr,000040,0006,00FF,1484
0.170634,9,YM2203,data_reg_06,000041,0000,00FF,1488
0.170685,9,YM2203,addr,000040,0027,00FF,000A
0.170693,9,YM2203,data_reg_27,000041,001F,00FF,0012
0.170924,9,YM2203,addr,000040,0027,00FF,000A
0.170933,9,YM2203,data_reg_27,000041,002F,00FF,0012
0.179137,10,YM2203,addr,000040,0027,00FF,000A
0.179146,10,YM2203,data_reg_27,000041,001F,00FF,0012
0.179499,10,YM2203,addr,000040,0027,00FF,000A
0.179508,10,YM2203,data_reg_27,000041,002F,00FF,0012
0.188661,10,YM2203,addr,000040,0000,00FF,1468
0.188668,10,YM2203,data_reg_00,000041,0000,00FF,146C
0.188699,10,YM2203,addr,000040,0001,00FF,1471
0.188706,10,YM2203,data_reg_01,000041,0000,00FF,1475
0.188785,10,YM2203,addr,000040,0002,00FF,1468
0.188792,10,YM2203,data_reg_02,000041,0000,00FF,146C
0.188824,10,YM2203,addr,000040,0003,00FF,1471
0.188831,10,YM2203,data_reg_03,000041,0000,00FF,1475
0.188909,10,YM2203,addr,000040,0004,00FF,1468
0.188917,10,YM2203,data_reg_04,000041,0000,00FF,146C
0.188948,10,YM2203,addr,000040,0005,00FF,1471
0.188955,10,YM2203,data_reg_05,000041,0000,00FF,1475
0.189022,10,YM2203,addr,000040,0006,00FF,1484
0.189029,10,YM2203,data_reg_06,000041,0000,00FF,1488
0.189080,10,YM2203,addr,000040,0027,00FF,000A
0.189089,10,YM2203,data_reg_27,000041,001F,00FF,0012
0.189317,10,YM2203,addr,000040,0027,00FF,000A
0.189326,10,YM2203,data_reg_27,000041,002F,00FF,0012
0.197533,11,YM2203,addr,000040,0027,00FF,000A
0.197542,11,YM2203,data_reg_27,000041,001F,00FF,0012
0.197932,11,YM2203,addr,000040,0027,00FF,000A
0.197941,11,YM2203,data_reg_27,000041,002F,00FF,0012
0.207057,11,YM2203,addr,000040,0000,00FF,1468
0.207064,11,YM2203,data_reg_00,000041,0000,00FF,146C
0.207095,11,YM2203,addr,000040,0001,00FF,1471
0.207103,11,YM2203,data_reg_01,000041,0000,00FF,1475
0.207181,11,YM2203,addr,000040,0002,00FF,1468
0.207188,11,YM2203,data_reg_02,000041,0000,00FF,146C
0.207220,11,YM2203,addr,000040,0003,00FF,1471
0.207227,11,YM2203,data_reg_03,000041,0000,00FF,1475
0.207306,11,YM2203,addr,000040,0004,00FF,1468
0.207313,11,YM2203,data_reg_04,000041,0000,00FF,146C
0.207344,11,YM2203,addr,000040,0005,00FF,1471
0.207351,11,YM2203,data_reg_05,000041,0000,00FF,1475
0.207418,11,YM2203,addr,000040,0006,00FF,1484
0.207425,11,YM2203,data_reg_06,000041,0000,00FF,1488
0.207476,11,YM2203,addr,000040,0027,00FF,000A
0.207485,11,YM2203,data_reg_27,000041,001F,00FF,0012
0.207716,11,YM2203,addr,000040,0027,00FF,000A
0.207725,11,YM2203,data_reg_27,000041,002F,00FF,0012
0.215928,12,YM2203,addr,000040,0027,00FF,000A
0.215937,12,YM2203,data_reg_27,000041,001F,00FF,0012
0.216364,12,YM2203,addr,000040,0027,00FF,000A
0.216372,12,YM2203,data_reg_27,000041,002F,00FF,0012
0.225454,12,YM2203,addr,000040,0000,00FF,1468
0.225461,12,YM2203,data_reg_00,000041,0000,00FF,146C
0.225493,12,YM2203,addr,000040,0001,00FF,1471
0.225500,12,YM2203,data_reg_01,000041,0000,00FF,1475
0.225579,12,YM2203,addr,000040,0002,00FF,1468
0.225586,12,YM2203,data_reg_02,000041,0000,00FF,146C
0.225617,12,YM2203,addr,000040,0003,00FF,1471
0.225624,12,YM2203,data_reg_03,000041,0000,00FF,1475
0.225703,12,YM2203,addr,000040,0004,00FF,1468
0.225710,12,YM2203,data_reg_04,000041,0000,00FF,146C
0.225742,12,YM2203,addr,000040,0005,00FF,1471
0.225749,12,YM2203,data_reg_05,000041,0000,00FF,1475
0.225815,12,YM2203,addr,000040,0006,00FF,1484
0.225823,12,YM2203,data_reg_06,000041,0000,00FF,1488
0.225873,12,YM2203,addr,000040,0027,00FF,000A
0.225882,12,YM2203,data_reg_27,000041,001F,00FF,0012
0.226115,13,YM2203,addr,000040,0027,00FF,000A
0.226123,13,YM2203,data_reg_27,000041,002F,00FF,0012
0.234325,13,YM2203,addr,000040,0027,00FF,000A
0.234334,13,YM2203,data_reg_27,000041,001F,00FF,0012
0.234796,13,YM2203,addr,000040,0027,00FF,000A
0.234805,13,YM2203,data_reg_27,000041,002F,00FF,0012
0.243848,14,YM2203,addr,000040,0000,00FF,1468
0.243856,14,YM2203,data_reg_00,000041,0000,00FF,146C
0.243887,14,YM2203,addr,000040,0001,00FF,1471
0.243894,14,YM2203,data_reg_01,000041,0000,00FF,1475
0.243973,14,YM2203,addr,000040,0002,00FF,1468
0.243980,14,YM2203,data_reg_02,000041,0000,00FF,146C
0.244011,14,YM2203,addr,000040,0003,00FF,1471
0.244019,14,YM2203,data_reg_03,000041,0000,00FF,1475
0.244097,14,YM2203,addr,000040,0004,00FF,1468
0.244104,14,YM2203,data_reg_04,000041,0000,00FF,146C
0.244136,14,YM2203,addr,000040,0005,00FF,1471
0.244143,14,YM2203,data_reg_05,000041,0000,00FF,1475
0.244209,14,YM2203,addr,000040,0006,00FF,1484
0.244217,14,YM2203,data_reg_06,000041,0000,00FF,1488
0.244268,14,YM2203,addr,000040,0027,00FF,000A
0.244276,14,YM2203,data_reg_27,000041,001F,00FF,0012
0.244507,14,YM2203,addr,000040,0027,00FF,000A
0.244516,14,YM2203,data_reg_27,000041,002F,00FF,0012
0.252722,14,YM2203,addr,000040,0027,00FF,000A
0.252731,14,YM2203,data_reg_27,000041,001F,00FF,0012
0.253228,14,YM2203,addr,000040,0027,00FF,000A
0.253237,14,YM2203,data_reg_27,000041,002F,00FF,0012
0.262246,15,YM2203,addr,000040,0000,00FF,1468
0.262253,15,YM2203,data_reg_00,000041,0000,00FF,146C
0.262284,15,YM2203,addr,000040,0001,00FF,1471
0.262292,15,YM2203,data_reg_01,000041,0000,00FF,1475
0.262370,15,YM2203,addr,000040,0002,00FF,1468
0.262377,15,YM2203,data_reg_02,000041,0000,00FF,146C
0.262409,15,YM2203,addr,000040,0003,00FF,1471
0.262416,15,YM2203,data_reg_03,000041,0000,00FF,1475
0.262494,15,YM2203,addr,000040,0004,00FF,1468
0.262502,15,YM2203,data_reg_04,000041,0000,00FF,146C
0.262533,15,YM2203,addr,000040,0005,00FF,1471
0.262540,15,YM2203,data_reg_05,000041,0000,00FF,1475
0.262607,15,YM2203,addr,000040,0006,00FF,1484
0.262614,15,YM2203,data_reg_06,000041,0000,00FF,1488
0.262665,15,YM2203,addr,000040,0027,00FF,000A
0.262674,15,YM2203,data_reg_27,000041,001F,00FF,0012
0.262906,15,YM2203,addr,000040,0027,00FF,000A
0.262915,15,YM2203,data_reg_27,000041,002F,00FF,0012
0.271116,15,YM2203,addr,000040,0027,00FF,000A
0.271125,15,YM2203,data_reg_27,000041,001F,00FF,0012
0.271661,15,YM2203,addr,000040,0027,00FF,000A
0.271670,15,YM2203,data_reg_27,000041,002F,00FF,0012
0.280641,16,YM2203,addr,000040,0000,00FF,1468
0.280648,16,YM2203,data_reg_00,000041,0000,00FF,146C
0.280679,16,YM2203,addr,000040,0001,00FF,1471
0.280687,16,YM2203,data_reg_01,000041,0000,00FF,1475
0.280765,16,YM2203,addr,000040,0002,00FF,1468
0.280772,16,YM2203,data_reg_02,000041,0000,00FF,146C
0.280804,16,YM2203,addr,000040,0003,00FF,1471
0.280811,16,YM2203,data_reg_03,000041,0000,00FF,1475
0.280889,16,YM2203,addr,000040,0004,00FF,1468
0.280897,16,YM2203,data_reg_04,000041,0000,00FF,146C
0.280928,16,YM2203,addr,000040,0005,00FF,1471
0.280935,16,YM2203,data_reg_05,000041,0000,00FF,1475
0.281002,16,YM2203,addr,000040,0006,00FF,1484
0.281009,16,YM2203,data_reg_06,000041,0000,00FF,1488
