time,frame,kind,detail,addr,data,mask,pc
0.000000,0,TRACE,start,000000,0000,0000,0000
0.000013,0,M68K,sound_command,E00000,0000,FFFF,mainpc_00177A
0.000005,0,Z80,latch_lo,000070,0000,00FF,00AF
0.000006,0,Z80,latch_hi,000060,0000,00FF,00B1
0.000008,0,Z80,rom_bank,000080,0000,00FF,00B4
0.000010,0,Z80,reply_ack,000050,00FF,00FF,00B8
0.000031,0,Z80,latch_lo,000070,0000,00FF,007F
0.000035,0,Z80,latch_hi,000060,0000,00FF,0084
0.000052,0,Z80,latch_lo,000070,0000,00FF,00AF
0.000053,0,Z80,latch_hi,000060,0000,00FF,00B1
0.000055,0,Z80,rom_bank,000080,0000,00FF,00B4
0.000057,0,Z80,reply_ack,000050,00FF,00FF,00B8
0.021896,1,YM2203,key_data_reg_28,000041,0000,00FF,0012
0.021937,1,YM2203,key_data_reg_28,000041,0001,00FF,0012
0.021979,1,YM2203,key_data_reg_28,000041,0002,00FF,0012
0.022510,1,OKI0,stop_F,000000,0078,00FF,2672
0.022527,1,OKI1,stop_F,000008,0078,00FF,2688
0.022781,1,NMK112,bank_0,000010,0000,00FF,00E4
0.022783,1,NMK112,bank_4,000014,0000,00FF,00E6
0.022784,1,NMK112,bank_1,000011,0001,00FF,00E9
0.022786,1,NMK112,bank_5,000015,0001,00FF,00EB
0.022788,1,NMK112,bank_2,000012,0002,00FF,00EE
0.022789,1,NMK112,bank_6,000016,0002,00FF,00F0
0.022791,1,NMK112,bank_3,000013,0003,00FF,00F3
0.022792,1,NMK112,bank_7,000017,0003,00FF,00F5
1.042560,60,M68K,sound_command,E00000,0001,FFFF,mainpc_001A32
1.042560,60,LUA,inject_sound_command_0001,E00000,0001,FFFF,mainpc_001A32
1.042560,60,LUA,drain_sound_ack_1,D80000,00FF,FFFF,mainpc_001A32
1.042578,60,Z80,latch_lo,000070,0001,00FF,007F
1.042581,60,Z80,latch_hi,000060,0000,00FF,0084
1.042598,60,Z80,reply_ack,000050,00FF,00FF,2704
1.042887,60,YM2203,key_data_reg_28,000041,0000,00FF,0012
1.042929,60,YM2203,key_data_reg_28,000041,0001,00FF,0012
1.042970,60,YM2203,key_data_reg_28,000041,0002,00FF,0012
1.043501,60,OKI0,stop_F,000000,0078,00FF,2672
1.043518,60,OKI1,stop_F,000008,0078,00FF,2688
1.563840,90,M68K,sound_command,E00000,0002,FFFF,mainpc_001A30
1.563840,90,LUA,inject_sound_command_0002,E00000,0002,FFFF,mainpc_001A30
1.563840,90,LUA,drain_sound_ack_1,D80000,00FF,FFFF,mainpc_001A30
1.563858,90,Z80,latch_lo,000070,0002,00FF,007F
1.563861,90,Z80,latch_hi,000060,0000,00FF,0084
1.563883,90,Z80,reply_ack,000050,0001,00FF,27AB
1.563889,90,Z80,reply_ack,000050,0001,00FF,27AB
1.563895,90,Z80,reply_ack,000050,0001,00FF,27AB
1.563901,90,Z80,reply_ack,000050,0001,00FF,27AB
1.563907,90,Z80,reply_ack,000050,0001,00FF,27AB
1.563913,90,Z80,reply_ack,000050,0001,00FF,27AB
1.563919,90,Z80,reply_ack,000050,0001,00FF,27AB
1.563925,90,Z80,reply_ack,000050,0001,00FF,27AB
1.563931,90,Z80,reply_ack,000050,0001,00FF,27AB
1.563937,90,Z80,reply_ack,000050,0001,00FF,27AB
1.563943,90,Z80,reply_ack,000050,0001,00FF,27AB
1.563949,90,Z80,reply_ack,000050,0001,00FF,27AB
1.563955,90,Z80,reply_ack,000050,0001,00FF,27AB
1.563961,90,Z80,reply_ack,000050,0001,00FF,27AB
1.563967,90,Z80,reply_ack,000050,0001,00FF,27AB
1.563973,90,Z80,reply_ack,000050,0001,00FF,27AB
1.563979,90,Z80,reply_ack,000050,0001,00FF,27AB
1.563985,90,Z80,reply_ack,000050,0001,00FF,27AB
1.563991,90,Z80,reply_ack,000050,0001,00FF,27AB
1.563997,90,Z80,reply_ack,000050,0001,00FF,27AB
1.564003,90,Z80,reply_ack,000050,0001,00FF,27AB
1.564009,90,Z80,reply_ack,000050,0001,00FF,27AB
1.564015,90,Z80,reply_ack,000050,0001,00FF,27AB
1.564021,90,Z80,reply_ack,000050,0001,00FF,27AB
1.564027,90,Z80,reply_ack,000050,0001,00FF,27AB
1.564033,90,Z80,reply_ack,000050,0001,00FF,27AB
1.564039,90,Z80,reply_ack,000050,0001,00FF,27AB
1.564045,90,Z80,reply_ack,000050,0001,00FF,27AB
1.564051,90,Z80,reply_ack,000050,0001,00FF,27AB
2.085120,120,M68K,sound_command,E00000,0003,FFFF,mainpc_001A32
2.085120,120,LUA,inject_sound_command_0003,E00000,0003,FFFF,mainpc_001A32
2.085120,120,LUA,drain_sound_ack_1,D80000,00FF,FFFF,mainpc_001A32
2.085138,120,Z80,latch_lo,000070,0003,00FF,007F
2.085141,120,Z80,latch_hi,000060,0000,00FF,0084
2.606400,150,LUA,inject_sound_command_0004,E00000,0004,FFFF,mainpc_001A2E
2.606400,150,LUA,drain_sound_ack_1,D80000,0001,FFFF,mainpc_001A2E
2.606400,150,LUA,drain_sound_ack_2,D80000,0001,FFFF,mainpc_001A2E
2.606400,150,LUA,drain_sound_ack_3,D80000,0001,FFFF,mainpc_001A2E
2.606400,150,LUA,drain_sound_ack_4,D80000,0001,FFFF,mainpc_001A2E
2.606400,150,LUA,drain_sound_ack_5,D80000,0001,FFFF,mainpc_001A2E
2.606400,150,LUA,drain_sound_ack_6,D80000,0001,FFFF,mainpc_001A2E
2.606400,150,LUA,drain_sound_ack_7,D80000,0001,FFFF,mainpc_001A2E
2.606400,150,LUA,drain_sound_ack_8,D80000,0001,FFFF,mainpc_001A2E
3.127680,180,LUA,inject_sound_command_0005,E00000,0005,FFFF,mainpc_001A32
3.127680,180,LUA,drain_sound_ack_1,D80000,0001,FFFF,mainpc_001A32
3.127680,180,LUA,drain_sound_ack_2,D80000,0001,FFFF,mainpc_001A32
3.127680,180,LUA,drain_sound_ack_3,D80000,0001,FFFF,mainpc_001A32
3.127680,180,LUA,drain_sound_ack_4,D80000,0001,FFFF,mainpc_001A32
3.127680,180,LUA,drain_sound_ack_5,D80000,0001,FFFF,mainpc_001A32
3.127680,180,LUA,drain_sound_ack_6,D80000,0001,FFFF,mainpc_001A32
3.127680,180,LUA,drain_sound_ack_7,D80000,0001,FFFF,mainpc_001A32
3.127680,180,LUA,drain_sound_ack_8,D80000,0001,FFFF,mainpc_001A32
3.648960,210,LUA,inject_sound_command_0006,E00000,0006,FFFF,mainpc_00423C
3.648960,210,LUA,drain_sound_ack_1,D80000,0001,FFFF,mainpc_00423C
3.648960,210,LUA,drain_sound_ack_2,D80000,0001,FFFF,mainpc_00423C
3.648960,210,LUA,drain_sound_ack_3,D80000,0001,FFFF,mainpc_00423C
3.648960,210,LUA,drain_sound_ack_4,D80000,0001,FFFF,mainpc_00423C
3.648960,210,LUA,drain_sound_ack_5,D80000,0001,FFFF,mainpc_00423C
3.648960,210,LUA,drain_sound_ack_6,D80000,0001,FFFF,mainpc_00423C
3.648960,210,LUA,drain_sound_ack_7,D80000,0001,FFFF,mainpc_00423C
3.648960,210,LUA,drain_sound_ack_8,D80000,0001,FFFF,mainpc_00423C
4.000000,230,TRACE,summary_main_0003_reply_01,000000,0000,0000,27A7
4.000000,230,TRACE,summary_oki0_events_2_last_start_00_last_stop_78,000000,0000,0000,27A7
4.000000,230,TRACE,summary_oki1_events_2_last_start_00_last_stop_78,000000,0000,0000,27A7
4.000000,230,TRACE,summary_ym_writes_1312,000000,0000,0000,27A7
4.000000,230,TRACE,summary_z80_reply_writes_152684,000000,0000,0000,27A7
4.000000,230,TRACE,summary_injected_6,000000,0000,0000,27A7
4.000000,230,TRACE,done,000000,0000,0000,27A7
